pOTU,Phylodist,Niche0ver,CladeID
pOTU005_pOTU022,46,0.43990794,NN
pOTU005_pOTU004,44,0.701646694,NN
pOTU005_pOTU002,44,0.402180286,NN
pOTU005_pOTU043,46,0.611594856,NN
pOTU005_pOTU046,52,0.714352474,NN
pOTU005_pOTU045,46,0.642359175,NN
pOTU005_pOTU048,44,0.448007145,NN
pOTU005_pOTU041,52,0.794307353,NN
pOTU005_pOTU044,46,0.62089439,NN
pOTU005_pOTU042,52,0.60251499,NN
pOTU005_pOTU039,46,0.506520915,NN
pOTU005_pOTU032,44,0.70313121,NN
pOTU005_pOTU038,52,0.78319226,NN
pOTU005_pOTU034,46,0.811071036,NN
pOTU005_pOTU035,46,0.49249916,NN
pOTU005_pOTU033,46,0.823053305,NN
pOTU005_pOTU029,44,0.612055988,NN
pOTU005_pOTU025,46,0.827340917,NN
pOTU005_pOTU023,44,0.611664382,NN
pOTU005_pOTU026,46,0.849865317,NN
pOTU005_pOTU028,44,0.395054074,NN
pOTU005_pOTU027,52,0.755299771,NN
pOTU005_pOTU021,48,0.593001561,NN
pOTU005_pOTU018,44,0.293131323,NN
pOTU005_pOTU024,46,0.622772164,NN
pOTU005_pOTU016,44,0.594165386,NN
pOTU005_pOTU020,44,0.11924704,NN
pOTU005_pOTU017,44,0.71014865,NN
pOTU005_pOTU008,44,0.716403134,NN
pOTU005_pOTU011,44,0.709178543,NN
pOTU005_pOTU010,44,0.452810675,NN
pOTU005_pOTU051,44,0.01115242,NN
pOTU005_pOTU030,48,0.088253795,NN
pOTU005_pOTU037,48,0.036140106,NN
pOTU005_pOTU040,50,0.051505005,NN
pOTU005_pOTU031,48,0.023831955,NN
pOTU005_pOTU015,48,0.04145865,NN
pOTU005_pOTU014,46,0.021784498,NN
pOTU005_pOTU012,48,0.028785518,NN
pOTU005_pOTU013,46,0.045113916,NN
pOTU005_pOTU006,46,0.006781379,NN
pOTU005_pOTU007,44,0.054705207,NN
pOTU005_pOTU001,48,0.076571716,NN
pOTU004_pOTU059,42,0.36066759,NN
